id	userStudent_id	versionExp_id	bloco	experimento_id
1	33	14	0	9
2	35	16	0	9
3	36	13	0	9
4	37	13	0	9
5	38	16	0	9
6	39	15	0	9
7	40	16	0	9
8	41	16	0	9
9	42	15	0	9
10	43	15	0	9
11	44	16	0	9
12	45	14	0	9
13	46	13	0	9
14	47	15	0	9
15	48	16	0	9
16	49	13	0	9
17	50	15	0	9
18	51	15	0	9
19	52	16	0	9
20	53	14	0	9
21	54	14	0	9
22	55	15	0	9
23	56	16	0	9
24	57	16	0	9
25	58	13	0	9
26	59	14	0	9
27	60	15	0	9
28	61	16	0	9
29	62	14	0	9
30	63	15	0	9
31	64	14	0	9
32	65	15	0	9
33	66	16	0	9
34	67	13	0	9
35	68	13	0	9
36	69	13	0	9
37	70	13	0	9
38	71	13	0	9
39	72	14	0	9
40	73	14	0	9
41	74	16	0	9
42	75	14	0	9
43	76	13	0	9
44	77	14	0	9
45	78	14	0	9
46	79	16	0	9
47	80	14	0	9
48	81	15	0	9
49	82	16	0	9
50	83	15	0	9
51	84	13	0	9
52	85	13	0	9
53	86	14	0	9
54	87	14	0	9
55	88	14	0	9
56	89	15	0	9
57	90	16	0	9
58	91	13	0	9
59	92	15	0	9
60	93	15	0	9
61	94	16	0	9
62	95	14	0	9
63	96	13	0	9
64	97	13	0	9
65	98	16	0	9
66	99	16	0	9
67	100	13	0	9
68	101	16	0	9
69	102	16	0	9
70	103	14	0	9
71	104	13	0	9
72	105	14	0	9
73	106	14	0	9
74	107	15	0	9
75	108	14	0	9
76	109	13	0	9
77	110	15	0	9
78	111	16	0	9
79	112	14	0	9
80	113	15	0	9
81	114	14	0	9
82	115	15	0	9
83	116	13	0	9
84	117	14	0	9
85	118	13	0	9
86	119	14	0	9
87	120	16	0	9
88	121	13	0	9
89	122	16	0	9
90	123	16	0	9
91	124	16	0	9
92	125	16	0	9
93	126	15	0	9
94	127	14	0	9
95	128	16	0	9
96	129	15	0	9
97	130	16	0	9
98	131	15	0	9
99	132	13	0	9
100	133	14	0	9
101	134	16	0	9
102	135	16	0	9
103	136	15	0	9
104	137	13	0	9
105	138	13	0	9
106	139	14	0	9
107	140	16	0	9
108	141	14	0	9
109	142	15	0	9
110	143	15	0	9
111	144	13	0	9
112	145	14	0	9
113	146	14	0	9
114	147	16	0	9
115	148	16	0	9
116	149	15	0	9
117	150	15	0	9
118	151	13	0	9
119	152	14	0	9
120	153	13	0	9
121	154	15	0	9
122	155	15	0	9
123	156	14	0	9
124	157	16	0	9
125	158	13	0	9
126	159	16	0	9
127	160	16	0	9
128	161	15	0	9
129	162	14	0	9
130	163	15	0	9
131	164	15	0	9
132	165	16	0	9
133	166	15	0	9
134	167	16	0	9
135	168	15	0	9
136	169	13	0	9
137	170	16	0	9
138	171	13	0	9
139	172	16	0	9
140	173	16	0	9
141	174	14	0	9
142	175	15	0	9
143	176	13	0	9
144	177	14	0	9
145	178	13	0	9
146	179	14	0	9
147	180	13	0	9
148	181	15	0	9
149	182	14	0	9
150	183	13	0	9
151	184	16	0	9
152	185	13	0	9
153	186	15	0	9
154	187	14	0	9
155	188	13	0	9
156	189	16	0	9
157	190	13	0	9
158	191	14	0	9
159	192	16	0	9
160	193	15	0	9
161	194	14	0	9
162	195	16	0	9
163	196	15	0	9
164	197	14	0	9
165	198	16	0	9
166	199	14	0	9
167	200	15	0	9
168	201	13	0	9
169	202	14	0	9
170	203	16	0	9
171	204	13	0	9
172	205	15	0	9
173	206	13	0	9
174	207	16	0	9
175	208	16	0	9
176	209	14	0	9
177	210	14	0	9
178	211	13	0	9
179	212	16	0	9
180	213	13	0	9
181	214	14	0	9
182	215	13	0	9
183	216	15	0	9
184	217	16	0	9
185	218	13	0	9
186	219	14	0	9
187	220	16	0	9
188	221	16	0	9
189	222	16	0	9
190	223	14	0	9
191	224	14	0	9
192	225	15	0	9
193	226	14	0	9
194	227	15	0	9
195	228	16	0	9
196	229	14	0	9
197	230	13	0	9
198	231	16	0	9
199	232	13	0	9
200	233	15	0	9
201	234	15	0	9
202	235	13	0	9
203	236	15	0	9
204	237	15	0	9
205	238	15	0	9
206	239	13	0	9
207	240	14	0	9
208	241	16	0	9
209	242	14	0	9
210	243	14	0	9
211	244	16	0	9
212	245	16	0	9
213	246	14	0	9
214	247	15	0	9
215	248	15	0	9
216	249	16	0	9
217	250	16	0	9
218	251	15	0	9
219	252	14	0	9
220	253	14	0	9
221	254	13	0	9
222	255	16	0	9
223	256	15	0	9
224	257	15	0	9
225	258	16	0	9
226	259	16	0	9
227	260	15	0	9
228	261	14	0	9
229	262	16	0	9
230	263	16	0	9
231	264	15	0	9
232	265	15	0	9
233	266	13	0	9
234	267	16	0	9
235	268	15	0	9
236	269	16	0	9
237	270	13	0	9
238	271	13	0	9
239	272	13	0	9
240	273	14	0	9
241	274	13	0	9
242	275	13	0	9
243	276	15	0	9
244	277	15	0	9
245	278	16	0	9
246	279	15	0	9
247	280	15	0	9
248	281	13	0	9
249	282	16	0	9
250	283	14	0	9
251	284	16	0	9
252	285	13	0	9
253	286	15	0	9
254	287	14	0	9
255	288	15	0	9
256	289	13	0	9
257	290	13	0	9
258	291	14	0	9
259	292	14	0	9
260	293	15	0	9
261	294	15	0	9
262	295	15	0	9
263	296	13	0	9
264	297	15	0	9
265	298	16	0	9
266	299	14	0	9
267	300	16	0	9
268	301	16	0	9
269	302	14	0	9
270	303	15	0	9
271	304	16	0	9
272	305	16	0	9
273	306	16	0	9
274	307	13	0	9
275	308	14	0	9
276	309	13	0	9
277	310	16	0	9
278	311	13	0	9
279	312	15	0	9
280	313	13	0	9
281	314	14	0	9
282	315	14	0	9
283	316	14	0	9
284	317	14	0	9
285	318	14	0	9
286	319	15	0	9
287	320	16	0	9
288	321	15	0	9
289	322	13	0	9
290	323	14	0	9
291	324	13	0	9
292	325	16	0	9
293	326	16	0	9
294	327	15	0	9
295	328	13	0	9
296	329	15	0	9
297	330	14	0	9
298	331	16	0	9
299	332	15	0	9
